"lang"
{
"Language"	"russian"
"Tokens"
{
//		EVENTS!

	"Game_notification_end_game_message"				"<font color='#DBA901'>Оставляйте свои отзывы в мастерской !<br> Подписывайтесь на оффициальную группу vk.com/roshan_defense </font>"

	"Game_notification_chose_boss_mode_message"				"<font color='#DBA901'> Финальный босс будет выбран случайным образом через 60 секунд !</font>  "

	"Game_notification_forpost_spawn"				"<font color='#DBA901'>Лагерь альянса сформировал отряд , который направляется с востока ! </font>"

	"Game_notification_boss_spawn_explosive_squad"				"<font color='#DBA901'><br>ПРИГОТОВЬТЕСЬ К ОБОРОНЕ ! </font>  <font color='#FF0000'><br>ВЗРЫВНОЙ ОТРЯД </font> приближается к вам!"
	"Game_notification_boss_spawn_midas_acolyte"				"<font color='#DBA901'><br>ПРИГОТОВЬТЕСЬ К ОБОРОНЕ ! </font>  <font color='#FF0000'><br>ПОСЛУШНИК МИДАСА </font> приближается к вам!"
	"Game_notification_boss_spawn_thief"				"<font color='#DBA901'><br>ПРИГОТОВЬТЕСЬ К ОБОРОНЕ ! </font>  <font color='#FF0000'><br>ВОРИШКА </font> приближается к вам!"
	"Game_notification_boss_spawn_evil_treant"				"<font color='#DBA901'><br>ПРИГОТОВЬТЕСЬ К ОБОРОНЕ ! </font>  <font color='#FF0000'><br>ЗЛОБНЫЙ ДРЕВЕНЬ </font> приближается к вам!"
	"Game_notification_boss_spawn_venom_dragon"				"<font color='#DBA901'><br>ПРИГОТОВЬТЕСЬ К ОБОРОНЕ ! </font>  <font color='#FF0000'><br>ЯДОВИТЫЙ ДРАКОН </font> приближается к вам!"
	"Game_notification_boss_spawn_elite_squad"				"<font color='#DBA901'><br>ПРИГОТОВЬТЕСЬ К ОБОРОНЕ ! </font>  <font color='#FF0000'><br>ЭЛИТНЫЙ ОТРЯД </font> приближается к вам!"
	"Game_notification_boss_spawn_abomination"				"<font color='#DBA901'><br>ПРИГОТОВЬТЕСЬ К ОБОРОНЕ ! </font>  <font color='#FF0000'><br>ЧУМНОЙ СОБАКЕН </font> приближается к вам!"
	"Game_notification_boss_spawn_fire_golem"				"<font color='#DBA901'><br>ПРИГОТОВЬТЕСЬ К ОБОРОНЕ ! </font>  <font color='#FF0000'><br>ОГНЕННЫЙ ГОЛЕМ </font> приближается к вам!"
	"Game_notification_boss_spawn_witch"				"<font color='#DBA901'><br>ПРИГОТОВЬТЕСЬ К ОБОРОНЕ ! </font>  <font color='#FF0000'><br>ВЕДЬМА </font> приближается к вам!"
	"Game_notification_boss_spawn_necronomicon"				"<font color='#DBA901'><br>ПРИГОТОВЬТЕСЬ К ОБОРОНЕ ! </font>  <font color='#FF0000'><br>ПУПА И ЛУПА </font> приближаются к вам!"
	"Game_notification_boss_spawn_nyx"				"<font color='#DBA901'><br>ПРИГОТОВЬТЕСЬ К ОБОРОНЕ ! </font>  <font color='#FF0000'><br>ПОВЕЛИТЕЛЬ МОГИЛ </font> приближается к вам!"
	"Game_notification_boss_spawn_doom"				"<font color='#DBA901'><br>ПРИГОТОВЬТЕСЬ К ОБОРОНЕ ! </font>  <font color='#FF0000'><br>ЛЮЦИФЕР </font> приближается к вам!"
	"Game_notification_boss_spawn_seeker"				"<font color='#DBA901'><br>ПРИГОТОВЬТЕСЬ К ОБОРОНЕ ! </font>  <font color='#FF0000'><br>КРОВАВЫЙ ЛОРД </font> приближается к вам!"
	"Game_notification_boss_spawn_never"				"<font color='#DBA901'><br>ПРИГОТОВЬТЕСЬ К ОБОРОНЕ ! </font>  <font color='#FF0000'><br>КОРОЛЬ ДУШ </font> приближается к вам!"
	"Game_notification_boss_spawn_spectre"				"<font color='#DBA901'><br>ПРИГОТОВЬТЕСЬ К ОБОРОНЕ ! </font>  <font color='#FF0000'><br>ЗАБЫТЫЕ ДУШИ </font> приближаются к вам!"
	"Game_notification_boss_spawn_cursed_warriors"				"<font color='#DBA901'><br>ПРИГОТОВЬТЕСЬ К ОБОРОНЕ ! </font>  <font color='#FF0000'><br>ОТРЯД ПРОКЛЯТЫХ </font> приближаются к вам!"
	"Game_notification_boss_spawn_plague_wagon"				"<font color='#DBA901'><br>ПРИГОТОВЬТЕСЬ К ОБОРОНЕ ! </font>  <font color='#FF0000'><br>ЧУМНАЯ ПОВОЗКА </font> приближаются к вам!"
	"Game_notification_boss_spawn_twins"				"<font color='#DBA901'><br>ПРИГОТОВЬТЕСЬ К ОБОРОНЕ ! </font>  <font color='#FF0000'><br>БЛИЗНЕЦЫ БИБА И БОБА </font> приближаются к вам!"
	"Game_notification_boss_spawn_brotherhood"			"<font color='#DBA901'><br>ПРИГОТОВЬТЕСЬ К ОБОРОНЕ ! </font>  <font color='#FF0000'><br>БРАТСТВО </font> приближаются к вам!"

	"Game_notification_boss_final"				"<font color='#DBA901'><br>ПРИГОТОВЬТЕСЬ К ФИНАЛЬНОЙ ВОЛНЕ ! </font>  <font color='#FF0000'><br>КАЖДЫЕ 10 СЕКУНД ПОЯВЛЯЕТСЯ БОСС </font> удачи !"
	"Game_notification_infinite_maraphon"				"<font color='#DBA901'><br>ПРИГОТОВЬТЕСЬ К БЕСКОНЕЧНОМУ БОСС МАРАФОНУ ! </font>  <font color='#FF0000'><br>КАЖДЫЕ 60 СЕКУНД ПОЯВЛЯЕТСЯ СЛУЧАЙНЫЙ БОСС , КАЖДЫЙ СЛЕДУЮЩИЙ СИЛЬНЕЕ ПРЕДЫДУЩИХ </font> УДАЧИ !"

	"choose_boss_osobenosti"						"Особености"
	"choose_boss_button_text"						"ФИНАЛЬНЫЙ БОСС"
	"choose_boss_button_select_text"				"ВЫБРАТЬ"

	"Game_notification_zombie_mode_message1"				"<font color='#DBA901'><br>ФИНАЛЬНЫЙ БОСС: </font>  <font color='#FF0000'> ВЛАДЫКА ПАДШИХ !</font> "
	"Game_notification_zombie_mode_message2"				"<font color='#DBA901'><br>ОСОБЕННОСТИ:  </font>  <font color='#FF6347'> все зомби усилены на 50% !\n При смерти вражеских юнитов есть шанс , что они возродятся в виде зомби ! </font> "
	"choose_boss_zombie_name"								"ВЛАДЫКА ПАДШИХ"
	"choose_boss_zombie_osobenosti"							"Все зомби усилены на 50% !<br> При смерти вражеских юнитов есть шанс ,<br> что они возродятся в виде зомби !"

	"Game_notification_chaos_mode_message1"				"<font color='#DBA901'><br>ФИНАЛЬНЫЙ БОСС: </font>  <font color='#FF0000'> ВЛАДЫКА ХАОСА !</font> "
	"Game_notification_chaos_mode_message2"				"<font color='#DBA901'><br>ОСОБЕННОСТИ:  </font>  <font color='#FF6347'> Есть шанс 35% , что при смерти юнита он взорвется нанеся 100+ 20% от максимального здоровья урона !\n Элитный юнит в армии тьмы - \"Отродие хаоса\" !  </font> "
	"choose_boss_chaos_name"						"ВЛАДЫКА ХАОСА"
	"choose_boss_chaos_osobenosti"					" Элитный юнит в армии тьмы - \"Отродие хаоса\" <br>Есть шанс 35% , что при смерти юнита он взорвется нанеся 100+ 20% от максимального здоровья урона !<br><br>"

	"Game_notification_demon_mode_message1"				"<font color='#DBA901'><br>ФИНАЛЬНЫЙ БОСС: </font>  <font color='#FF0000'> ВЛАДЫКА ДЕМОНОВ !</font> "
	"Game_notification_demon_mode_message2"				"<font color='#DBA901'><br>ОСОБЕННОСТИ:  </font>  <font color='#FF6347'> Все юниты тьмы получают бафф +25% скорости и атаки !\n Элитный юнит в армии тьмы - Высший демон ! </font> "
	"choose_boss_demon_name"							"ВЛАДЫКА ДЕМОНОВ"
	"choose_boss_demon_osobenosti"						" Элитный юнит в армии тьмы - \"Высший демон\" <br> Все юниты тьмы получают бафф <br> +25% скорости и атаки !"

	"Game_notification_lich_mode_message1"				"<font color='#DBA901'><br>ФИНАЛЬНЫЙ БОСС: </font>  <font color='#FF0000'> ВЛАДЫКА ХОЛОДА !</font> "
	"Game_notification_lich_mode_message2"				"<font color='#DBA901'><br>ОСОБЕННОСТИ:  </font>  <font color='#FF6347'> Все союзники рошана получают дебафф уменьшающий скороть бега и атаки на 25% !\n Элитный юнит в армии тьмы - \"Холодец\" ! </font> "
	"choose_boss_lich_name"								"ВЛАДЫКА ХОЛОДА"
	"choose_boss_lich_osobenosti"						" Элитный юнит в армии тьмы - \"Холодец\" <br>Все союзники рошана получают дебафф уменьшающий скороть бега и атаки на 25% !<br>"

	"Game_notification_necro_mode_message1"				"<font color='#DBA901'><br>ФИНАЛЬНЫЙ БОСС: </font>  <font color='#FF0000'> ВЛАДЫКА ПОРЧИ !</font> "
