"lang"
{
        "Language"                "schinese"
        "Tokens"
        {                
//                EVENTS!
        "Game_notification_end_game_message"                                "<font color='#DBA901'>请在创意工坊留下你的反馈</font>"


        "Game_notification_chose_boss_mode_message"                                "<font color='#DBA901'>将在60秒内随机选择终级Boss！</font>  "
        "Game_notification_forpost_spawn"                                "<font color='#DBA901'>黑暗军团已经组成一支从西部出发的小队！ </font>"


 
        "Game_notification_boss_spawn_explosive_squad"                          "<font color='#DBA901'><br> 准备防御！ </font>  <font color='#FF0000'><br>爆炸小队 </font>正在接近你！"
        "Game_notification_boss_spawn_midas_acolyte"                            "<font color='#DBA901'><br> 准备防御！ </font>  <font color='#FF0000'><br>麦达斯助剂 </font>正在接近你！"
        "Game_notification_boss_spawn_thief"                            "<font color='#DBA901'><br> 准备防御！ </font>  <font color='#FF0000'><br>贼 </font>正在接近你！"
       "Game_notification_boss_spawn_evil_treant"                                "<font color='#DBA901'><br> 准备防御！ </font>  <font color='#FF0000'><br>邪恶的树精 </font>正在接近你！"
        "Game_notification_boss_spawn_venom_dragon"                                "<font color='#DBA901'><br> 准备防御！ </font>  <font color='#FF0000'><br>毒龙</font>正在接近你！"
        "Game_notification_boss_spawn_elite_squad"                                "<font color='#DBA901'><br> 准备防御！ </font>  <font color='#FF0000'><br>精英队 </font>正在接近你！"
        "Game_notification_boss_spawn_abomination"                                "<font color='#DBA901'><br> 准备防御！ </font>  <font color='#FF0000'><br>地狱屠夫 </font>正在接近你！"
        "Game_notification_boss_spawn_fire_golem"                                "<font color='#DBA901'><br>准备防御！ </font>  <font color='#FF0000'><br>混沌魔像 </font>正在接近你！"
        "Game_notification_boss_spawn_witch"                                "<font color='#DBA901'><br>准备防御！ </font>  <font color='#FF0000'><br>女巫 </font>正在接近你！"
        "Game_notification_boss_spawn_necronomicon"                                "<font color='#DBA901'><br>准备防御！ </font>  <font color='#FF0000'><br>死灵战士 </font>正在接近你！"
        "Game_notification_boss_spawn_nyx"                                "<font color='#DBA901'><br>准备防御！ </font>  <font color='#FF0000'><br>地穴领主 </font>正在接近你！"
        "Game_notification_boss_spawn_doom"                                "<font color='#DBA901'><br>准备防御！ </font>  <font color='#FF0000'><br>末日使者 </font>正在接近你！"
        "Game_notification_boss_spawn_seeker"                                "<font color='#DBA901'><br>准备防御！ </font>  <font color='#FF0000'><br>鲜血之王 </font>正在接近你！"
        "Game_notification_boss_spawn_never"                                "<font color='#DBA901'><br>准备防御！ </font>  <font color='#FF0000'><br>虚无 </font>正在接近你！"
        "Game_notification_boss_spawn_spectre"                                "<font color='#DBA901'><br>准备防御！ </font>  <font color='#FF0000'><br>黑暗之魂 </font>正在接近你！"
        "Game_notification_boss_spawn_cursed_warriors"                                "<font color='#DBA901'><br>准备防御！ </font>  <font color='#FF0000'><br>被诅咒的小队</font>正在接近你！"
        "Game_notification_boss_spawn_plague_wagon"                                "<font color='#DBA901'><br>准备防御！ </font>  <font color='#FF0000'><br>瘟疫战车</font>正在接近你！"
        "Game_notification_boss_spawn_twins"                                "<font color='#DBA901'><br>准备防御！ </font>  <font color='#FF0000'><br>雙胞胎</font>正在接近你！"
        "Game_notification_boss_spawn_brotherhood"                                "<font color='#DBA901'><br>准备防御！ </font>  <font color='#FF0000'><br>兄弟會</font>正在接近你！"

        "Game_notification_boss_final"                          "<font color='#DBA901'><br>准备最后的波浪！</font>  <font color='#FF0000'><br>每十秒钟出现一次老板 </font> 祝好运！"
        "Game_notification_infinite_maraphon"                                "<font color='#DBA901'><br>迎接黑暗军团无尽的怒火吧，无尽模式来临！ </font>  <font color='#FF0000'><br>每60秒，一个随机将领会到来，一浪更比一浪强！</font> 祝你好运！"




        "choose_boss_osobenosti"                                                "特殊能力"
        "choose_boss_button_text"                                                "终极Boss"
        "choose_boss_button_select_text"                                "选择"


        "Game_notification_zombie_mode_message1"                                "<font color='#DBA901'><br>终极BOSS： </font>  <font color='#FF0000'>僵尸王！ </font> "
        "Game_notification_zombie_mode_message2"                                "<font color = '#DBA901'> <br> <br>特殊能力：</font> <font color='#FF6347'>  所有的僵尸都被加强了50%！  \n 每当单位死亡时，都有机会重生为僵尸！ </font> "
        "choose_boss_zombie_name"                                                                "僵尸王"
        "choose_boss_zombie_osobenosti"                                                        "所有的僵尸都被加强了50% <br> 每当单位死亡时，都有机会重生为僵尸！<br>"


        "Game_notification_chaos_mode_message1"                                "<font color='#DBA901'><br>终极BOSS: </font>  <font color='#FF0000'> 混沌领主！ </font> "
        "Game_notification_chaos_mode_message2"                                "<font color='#DBA901'> <br> <br> 特殊能力： </font> <font color='#FF6347'>  当一个单位死亡时，它将有25%几率爆炸，造成100+20%最大生命值的纯粹伤害！ \n 黑暗军团中出现精英单位 \"混沌子嗣\"! </font> "
        "choose_boss_chaos_name"                                                "混沌领主"
        "choose_boss_chaos_osobenosti"                                        "黑暗军团中出现精英单位 \"混沌子嗣\"<br>当一个单位死亡时，它将有25%几率爆炸，造成100+20%最大生命值的纯粹伤害<br> "


        "Game_notification_demon_mode_message1"                                "<font color='#DBA901'><br>终极BOSS: </font>  <font color='#FF0000'> 恶魔领主 </font> "
        "Game_notification_demon_mode_message2"                                "<font color='#DBA901'> <br> <br> 特殊能力: </font> <font color='#FF6347'>  所有黑暗单位获得25%攻击力和速度的加成！\n 黑暗军团中出现精英单位 \"至尊恶魔\"!  </font> "
        "choose_boss_demon_name"                                                        "恶魔领主"
        "choose_boss_demon_osobenosti"                                                "黑暗军团中出现精英单位 \"至尊恶魔\"<br> 所有黑暗单位获得+25%攻击力和速度的加成！<br>"


        "Game_notification_lich_mode_message1"                                "<font color='#DBA901'><br>最终BOSS：</font>  <font color='#FF0000'>极寒领主 </font> "
        "Game_notification_lich_mode_message2"                                "<font color='#DBA901'> <br> <br>  特殊能力: </font> <font color='#FF6347'>  所有肉山盟友降低25%攻击力和移动速度 \n 黑暗军团中出现精英单位 \"极寒子嗣！\"  </font> "
        "choose_boss_lich_name"                                                                "极寒领主"
        "choose_boss_lich_osobenosti"                                                "黑暗军团中出现精英单位 \"极寒子嗣！\" <br> 所有肉山盟友降低25%攻击力和移动速度 <br>"


        "Game_notification_necro_mode_message1"                                "<font color='#DBA901'><br>最终BOSS：</font>  <font color='#FF0000'> 瘟疫领主！</font> "
        "Game_notification_necro_mode_message2"                                "<font color='#DBA901'> <br> <br>  特殊能力: </font> <font color='#FF6347'>  所有肉山盟友降低0.5%生命恢复！\n 黑暗军团中出现精英单位 \"乱局者\" !  </font> "
        "choose_boss_necro_name"                                                        "恶疾领主"
        "choose_boss_necro_osobenosti"                                                "黑暗军团中出现精英单位 \"乱局者\"<br>所有肉山盟友降低0.5%生命恢复！<br>"


        "Game_notification_boss_spawn_sans"                                "<font color='#7FFF00'><br>SANS: </font>  <font color='#FFD700'> 今天真好啊。百鸟争鸣，百花齐放...\n 在这么美好的一天里，像你这样的孩子... \n 就该在地狱里被焚烧殆尽！</font> "
        "Game_notification_sans_end_message"                                "<font color='#7FFF00'><br>SANS: </font>  <font color='#FFD700'> 我已经累了......</font> "


//Elemental rapier requests
        "Game_notification_fire_rapier_request_message"                                "<font color='#FF4500'>火之乐成狗： </font><font color='#FFD700'> 你太弱了！还不能持有它！ <br>全属性要求： <font color='#FF4500'>750</font></font>"
        "Game_notification_wind_rapier_request_message"                                "<font color='#C0C0C0'>风之快乐： </font><font color='#FFD700'> 你太弱了！还不能持有它！ <br>全属性要求： <font color='#C0C0C0'>500</font></font>"
        "Game_notification_earth_rapier_request_message"                                "<font color='#8B4513'>地之脸皮： </font><font color='#FFD700'> 你太弱了！还不能持有它！ <br> 全属性要求： <font color='#8B4513'>500</font></font>"
        "Game_notification_ice_rapier_request_message"                                "<font color='#00FFFF'>霜之哭出翔： </font><font color='#FFD700'> 你太弱了！还不能持有它！ <br>全属性要求： <font color='#00FFFF'>500</font></font>"
        "Game_notification_cursed_rapier_request_message"                                "<font color='#00FF00'>诅咒圣剑： </font><font color='#FFD700'> 你太弱了！还不能持有它！ <br> 全属性要求：<font color='#00FF00'>1000</font></font>"
        "Game_notification_fire_rapier_request_message1"                                "<font color='#FF4500'>火之乐成狗：</font><font color='#FFD700'> 别太贪心，你只能同时持有一把圣剑！ "
        "Game_notification_wind_rapier_request_message1"                                "<font color='#C0C0C0'>风之快乐：</font><font color='#FFD700'> 别太贪心，你只能同时持有一把圣剑！ "
        "Game_notification_earth_rapier_request_message1"                                "<font color='#8B4513'>地之脸皮：</font><font color='#FFD700'> 别太贪心，你只能同时持有一把圣剑！ "
